District,Latitude,Longitude
Dhaka ,23.8103,90.4125
Gazipur ,23.9999,90.4203
Jamalpur ,25.0831,89.7853
Kishoreganj ,24.426,90.9821
Madaripur ,23.2393,90.187
Manikganj ,23.8617,90.0003
Narayanganj ,23.6238,90.5
Narsingdi ,24.1344,90.786
Rajbari ,23.7639,89.6467
Tangail ,24.3917,89.9948
Shariatpur ,23.2423,90.4348
Sherpur ,25.0746,90.1495
Chattogram ,22.3569,91.7832
Cox's bazar ,21.4272,92.0058
Cumilla ,23.4607,91.1809
Moulovi Bazar ,24.3095,91.7315
Sylhet ,24.8949,91.8687
Rangpur ,25.7439,89.2752
Gaibandha ,25.329,89.5415
Nilphamari ,25.8483,88.9414
Chuadanga ,23.6161,88.8263
Munshigonj ,23.5422,90.5305
Faridpur ,23.5424,89.6309
Gopalganj ,23.0488,89.8879
B. Baria ,23.9608,91.1115
Laksmipur ,22.9447,90.8282
Noakhali ,22.8724,91.0921
Chandpur ,23.2513,90.8518
Sunamganj ,25.0667,91.4072
Hobiganj ,24.4771,91.4507
Lalmonirhat ,25.9923,89.2847
Kurigram ,25.8072,89.6295
Dinajpur ,25.6279,88.6332
Thakurgaon ,26.0418,88.4283
Khulna ,22.8456,89.5403
Narail ,23.1657,89.499
Mymensingh ,24.7471,90.4203
Netrokona ,24.8103,90.8656
Barguna ,22.0953,90.1121
Barishal ,22.701,90.3535
Potuakhali ,22.2249,90.4548
Pirojpur ,22.5791,89.9759
Jhalokathi ,22.5721,90.187
Rajshahi ,24.3745,88.6042
