District,Cases,,,,,
Dhaka ,3095,,,,,
Gazipur ,318,,,,,
Kishoreganj ,194,,,,,
Madaripur ,38,,,,,
Manikganj ,15,,,,,
Narayanganj ,849,,,,,
Munshigonj ,82,,,,,
Narsingdi ,142,,,,,
Rajbari ,14,,,,,
Faridpur ,9,,,,,
Tangail ,27,,,,,
Shariatpur ,24,,,,,
Gopalganj ,50,,,,,
Chattogram ,67,,,,,
Cox's bazar ,19,,,,,
Cumilla ,47,,,,,
B. Baria ,35,,,,,
Laksmipur ,34,,,,,
Bandarban ,4,,,,,
Noakhali ,6,,,,,
Feni ,4,,,,,
Chandpur ,11,,,,,
Moulovi Bazar ,12,,,,,
Sunamganj ,26,,,,,
Hobiganj ,48,,,,,
Sylhet ,16,,,,,
Rangpur ,28,,,,,
Gaibandha ,19,,,,,
Nilphamari ,11,,,,,
Lalmonirhat ,2,,,,,
Kurigram ,6,,,,,
Dinajpur ,16,,,,,
Panchagar ,7,,,,,
Thakurgaon ,15,,,,,
Khulna ,8,,,,,
Jessore ,36,,,,,
Bagerhat ,1,,,,,
Narail ,13,,,,,
Magura ,4,,,,,
Meherpur ,2,,,,,
Jhenaidah ,19,,,,,
Kushtia ,10,,,,,
Chuadanga ,8,,,,,
Mymensingh ,117,,,,,
Jamalpur ,52,,,,,
Netrokona ,27,,,,,
Sherpur ,23,,,,,
Barguna ,30,,,,,
Bhola ,4,,,,,
Barishal ,40,,,,,
Potuakhali ,23,,,,,
Pirojpur ,8,,,,,
Jhalokathi ,6,,,,,
Joypurhat ,21,,,,,
Pabna ,8,,,,,
Chapainawabganj ,2,,,,,
Bogra ,17,,,,,
Naogaon ,1,,,,,
Sirajganj ,3,,,,,
Rajshahi ,10,,,,,
